id,election_id,party_id,alliance_id,seats,votes,description
22,357,885,7683,21,914397,""
25,375,1539,7676,44,3171459,""
34,595,558,,252,17140354,
35,582,689,,5,171942,""
46,118,772,,51,3838326,
52,582,1284,,6,491386,""
59,118,808,5572,180,13136740,
65,385,772,,55,4110355,""
75,333,1540,,38,5496828,""
76,568,319,2691,1,,""
80,407,1414,7677,32,2111167,""
90,91,677,,14,361045,
101,514,1556,,271,11560484,
122,159,368,,40,3516486,
125,568,1284,,7,633180,
132,609,639,1583,2,133179,""
135,603,940,,90,10074101,""
136,95,1180,5563,48,3615183,
137,286,794,,208,3910852,
138,568,1556,,301,11645616,""
140,514,1566,,1,19305,""
150,161,773,4770,345,,""
169,138,1540,,26,5302485,""
170,102,1556,,295,13948883,
181,511,1382,,4,,""
182,222,773,,45,5426866,""
183,582,1250,,0,564331,""
185,679,558,,298,20181269,
190,677,509,,25,5588851,""
196,333,940,,118,11478742,""
200,189,368,,125,2170625,""
206,581,543,,52,2829920,
222,540,524,,0,1387070,""
226,102,1276,,0,21640,""
231,628,439,,52,8949190,""
240,273,1101,,13,2304544,""
243,360,873,,9,1922945,""
254,91,296,,22,1378260,
257,357,1414,7683,15,810076,""
264,237,462,,22,6589490,""
265,237,439,,127,15067990,""
271,348,890,,39,2295119,""
272,582,773,,307,10726614,""
273,511,1165,,1,,""
275,196,319,,1,175761,Democratic Unionists (DUP) took 1 seat with 31.9% of the vote in Northern Ireland.
280,40,646,3620,3,,""
321,403,509,7537,28,1226462,""
336,385,791,,2,1916702,Party did not pass the five percent threshold but won 2 SMD seats in the East of Germany. Representation as a parliamentary group would have required 3 SMD seats.
339,233,311,,3,174838,
353,333,905,,14,2645582,""
354,471,401,,35,2131763,""
385,610,808,5575,34,9308411,""
388,290,311,,2,125309,
394,315,1284,,6,621550,""
397,291,686,7680,72,5039032,""
406,25,1540,,16,5226987,""
413,645,1193,,298,23480170,""
419,345,1540,,3,1156723,""
420,189,1307,,2,172765,""
421,445,558,,239,15545366,
424,286,368,,48,2447744,""
437,102,1017,4617,19,,""
445,196,1250,,0,808201,""
447,588,772,,42,3126256,""
462,163,808,5564,190,14367302,
465,293,890,7666,77,1887583,""
474,237,1382,,7,247334,""
482,554,1540,,9,4919187,""
499,196,773,,27,4397087,""
504,315,311,,4,161030,""
506,625,1017,5062,16,,""
512,682,659,,0,986292,""
520,40,1210,3620,6,,""
546,171,1539,7535,186,6436520,""
547,547,1180,5565,52,3908459,
549,282,677,,9,359438,
555,282,1189,,2,,""
557,609,1276,,2,102780,""
577,546,368,,177,5647952,
587,514,311,,4,154947,""
589,273,270,,5,1005285,""
598,540,791,,0,1670316,""
602,327,940,,7,3006160,""
608,196,1284,,2,231505,Scottish Nationalists (SNP) took 2 seats with 19.7% of the vote in Scotland.
617,403,285,7537,7,921973,""
625,40,319,3620,1,,""
626,583,1017,1458,3,,""
631,554,439,,113,21036425,""
638,511,1193,,237,20660185,""
641,311,1092,,1,30649,""
656,680,270,,11,2050086,""
661,511,1540,,9,4586172,""
666,293,1086,7666,82,2369778,""
667,568,1023,,1,22660,
678,138,940,,112,11065082,""
681,650,448,,44,1385821,""
688,540,808,5577,39,11346073,""
695,311,311,,0,175016,""
696,496,509,7627,124,,""
699,103,558,,151,7944943,
701,682,773,,32,5331077,""
705,331,558,,169,9495571,
711,103,137,,3,217078,Centre Party (Zentrum) won 1 SMD seat through electoral coordination with the Christian Democrats (CDU).
714,583,1284,,0,128474,""
747,291,516,7680,3,473846,""
754,381,1701,,0,870756,""
759,113,1540,,29,5803613,""
771,410,1250,,2,943598,""
783,112,1189,,6,,""
789,686,467,,2,625378,""
791,163,1180,5564,53,4027499,
795,311,453,,1,,""
820,623,138,7601,146,3153522,""
825,679,1506,,0,601192,
829,208,319,,5,181999,""
841,554,940,,7,3719522,""
855,171,686,7535,15,1115663,""
863,625,332,,2,65211,""
877,250,633,,0,434182,
889,424,1392,,24,940703,
891,490,659,,17,7341633,""
892,40,1284,,11,839617,
894,447,543,,30,1903422,Several Free Democratic (FDP) MPs crossed the floor in opposition to the Ostpolitik.
902,103,1507,,27,1616953,
910,208,1556,,412,10724953,""
916,540,1180,5577,8,2393374,""
917,455,794,,12,1566998,""
920,417,543,,0,820371,""
921,601,1259,,0,937613,""
933,240,296,,19,2127403,""
935,231,543,,12,2888084,""
938,386,1094,7681,282,8422413,""
941,233,1057,,1,68094,""
942,137,368,,103,4479415,
945,103,649,,0,607860,
948,410,311,,1,126702,Plaid Cymru (Plaid) took 1 seat with 18.5% of the vote in Wales.
949,222,659,,0,2591659,""
951,386,401,7682,,,""
963,595,808,5569,244,16089960,
970,386,59,7681,64,1863371,""
983,546,897,,52,2559245,
996,113,170,,12,1766396,""
997,445,772,,0,1788200,""
1004,311,349,,2,140930,""
1007,76,1392,,30,896574,""
1014,610,772,,7,2025972,""
1019,490,319,,3,85642,""
1043,76,794,,116,2868295,""
1045,595,524,,0,875239,
1053,678,689,,2,152310,""
1056,219,658,,29,4799908,Electoral alliance with The Modern Left (La Gauche Moderne)
1078,583,1556,,364,13096629,
1095,331,1507,,0,1374066,
1096,315,689,,2,126921,""
1102,568,773,,297,11872180,
1115,552,1392,,15,737972,""
1117,490,1566,,1,18420,""
1121,410,1272,,13,2489226,""
1131,433,86,,2,368660,""
1136,37,1284,,1,247836,""
1138,601,368,,77,3633185,""
1140,219,509,,6,1455841,""
1144,415,270,,10,2210334,""
1145,40,1556,,319,11457079,""
1161,95,558,,230,17175169,
1163,562,368,,105,2796039,
1171,282,368,,131,3099519,
1172,273,686,,6,1196491,""
1174,91,794,,72,2554880,
1179,40,311,,3,166321,
1189,679,772,,47,3301624,""
1204,540,543,,0,1442857,""
1206,490,1210,,9,276230,""
1222,237,1540,,20,6719016,""
1231,407,1094,7677,230,6177841,""
1232,410,1284,,2,321007,Scottish Nationalists (SNP) took 2 seats with 29.1% of the vote in Scotland.
1243,112,1392,,10,139815,
1245,312,1414,7663,95,3257782,""
1259,57,1540,,15,4834587,""
1265,37,1210,,1,125169,Ulster Unionists (UUP) took 1 seat with nearly 21.8% of the vote in Northern Ireland.
1276,91,368,,155,3696945,
1285,678,311,,0,45119,""
1328,547,808,5565,174,12989200,
1333,118,558,,222,16194665,
1338,292,1392,,15,305973,
1347,568,659,,14,6059519,""
1355,628,1136,,156,15580053,""
1364,315,659,,46,5242947,""
1368,273,138,,12,2263201,""
1372,381,633,,0,609918,
1379,610,558,,33,9296417,""
1381,160,686,,2,900447,""
1394,222,1284,,1,230594,""
1402,650,897,,60,2513080,""
1405,552,296,,31,1713528,""
1409,484,772,,27,2167431,""
1418,623,686,7600,32,2663259,""
1427,433,1053,,35,3663691,""
1429,490,689,,1,83389,""
1436,601,296,,37,2515288,""
1438,93,791,,76,5155933,""
1458,583,1496,,,11418455,""
1471,243,659,,11,4313804,""
1478,554,1175,,1,1643506,""
1481,540,772,,12,3563268,""
1482,582,1023,,3,110970,""
1494,407,59,7677,18,427821,""
1504,686,773,,36,3578218,""
1521,53,837,,55,6177300,""
1530,208,453,,2,,""
1534,603,1053,,31,3636591,""
1545,20,138,7619,80,5141101,""
1556,479,686,7551,39,2523405,""
1565,75,1539,7667,90,3431954,""
1583,609,773,,197,9101099,Electoral alliance: National Government
1597,219,873,,14,2803759,Electoral alliance: Europe Ecology -- The Greens (Europe Écologie – Les Verts)
1601,208,1210,,6,216839,""
1610,683,794,,136,4111559,""
1614,233,453,,3,,""
1622,375,686,,10,3870184,""
1628,385,558,,251,18488668,
1629,311,2296,,1,35303,Protestant Unionist Party
1631,331,912,,17,1007282,"German Party (DP) gained representation in the Bundestag by winning 5 SMD seats (6 total, 3 required) through electoral coordination with the Christian Democrats (CDU)."
1641,410,689,,1,126184,Sinn Féin (SF) took 1 seat with 26.0% of the vote in Northern Ireland.
1643,196,1272,,12,2660768,""
1655,222,1210,,1,147169,Ulster Unionists (John Taylor) took 1 seat with 21.5% of the vote in Northern Ireland.
1666,568,453,,2,,""
1667,562,296,,25,707659,
1675,407,516,7678,2,363842,""
1678,276,794,,95,3369335,""
1702,37,773,,60,6508492,""
1717,664,138,7589,248,5188196,""
1719,93,558,,146,9990488,""
1721,678,773,2134,324,,""
1726,546,296,,9,939575,
1727,231,1180,5580,8,1896762,""
1731,686,1284,,2,268528,Scottish National Party (SNP) took 2 seats with 27.2% of the vote in Scotland.
1739,327,1124,,5,3005199,""
1740,554,837,,31,8987620,""
1742,609,1205,,3,46769,""
1743,159,296,,30,2359915,
1752,160,1101,,3,1516524,""
1758,679,1180,5570,47,3324480,
1764,138,837,,58,5745751,""
1766,333,1053,,19,3660953,""
1773,445,543,,79,5123233,
1779,171,509,,3,1981107,""
1790,682,1023,,1,136335,Social Democratic and Labour Party (John Hume) took 1 seat with 25.2% of the vote in Northern Ireland.
1794,137,1255,,124,5374071,
1795,455,368,,172,5252031,""
1800,137,1189,,1,20158,""
1801,361,558,,35,11370045,""
1802,640,940,,144,11906766,""
1803,327,1540,,9,4943886,""
1811,189,1189,,8,,""
1817,645,1540,,1,1012035,""
1820,93,865,,0,847870,""
1821,582,659,,57,6836824,""
1823,219,1539,,14,2838160,""
1827,664,686,7590,24,2336254,""
1829,290,689,,1,102701,""
1834,588,808,5567,174,13045745,
1852,357,1539,7684,89,4537348,""
1853,375,401,7676,23,1977710,""
1857,53,1193,,249,23653626,""
1859,348,401,271,,,""
1860,95,808,5563,177,13190837,
1865,160,658,,17,2856158,""
1866,293,1094,,107,4125492,""
1886,20,1539,7618,268,8947811,""
1887,514,1284,,3,629564,
1890,160,873,,6,1271072,""
1897,562,1189,,4,,""
1920,595,1180,5569,50,3427196,
1925,680,1539,,15,2824173,""
1927,433,837,,57,5282682,""
1928,490,773,,376,13760583,
1933,159,794,,211,6278697,
1935,367,1540,,5,2190563,""
1953,581,912,,17,939934,""
1957,113,1053,,32,3896728,""
1961,348,1297,,62,2539845,""
1964,231,808,5580,34,8071391,""
1996,686,1210,,1,119507,Ulster Unionists (Jim Nicholson) took 1 seat with 17.6% of the vote in Northern Ireland.
1998,93,772,,68,4643272,""
2007,20,509,7619,59,547616,""
2013,291,1539,7680,118,4231173,""
2017,292,794,,51,1751215,
2038,582,467,,1,285616,""
2040,233,1284,,6,412267,
2062,514,773,,336,14093007,
2068,315,2296,,1,12817,United Kingdom Unionist Party
2071,57,1146,,13,1658097,""
2076,628,1193,,239,18205955,""
2077,581,558,,131,6934975,
2086,137,296,,29,2589597,
2093,351,467,,0,494561,""
2096,76,368,,99,2874076,""
2112,680,509,8326,,,""
2115,680,1101,,13,2404105,""
2116,640,1540,,5,1646477,""
2134,678,1496,,,13310891,""
2138,237,1193,,233,16943425,""
2158,315,1023,,3,190814,""
2170,367,837,,25,2472371,""
2200,118,1180,5572,46,3494309,
2207,290,773,,397,13012316,
2210,386,1491,7681,26,2319118,""
2222,118,543,,61,4648144,
2230,686,1272,,3,696057,""
2234,18,543,,7,1565431,""
2235,233,689,,5,174530,
2244,243,453,,2,,""
2257,679,791,,36,2515454,
2269,385,1180,5571,58,4315080,
2274,360,509,,,524203,""
2284,424,296,,17,1037857,
2291,286,296,,8,692398,
2294,552,368,,109,3718258,""
2306,231,791,,8,1969239,""
2311,677,138,,15,3301980,""
2323,196,659,,12,2452327,""
2326,664,2260,7590,6,457193,""
2334,76,296,,19,1036853,""
2338,682,319,,1,160110,Democratic Unionists (Ian Paisley) took 1 seat with 29.6% of the vote in Northern Ireland.
2340,645,940,,167,13155715,""
2346,243,773,,339,13697923,
2347,433,1193,,248,24084140,""
2350,407,1539,7678,64,2279209,""
2353,102,2296,,1,33174,Irish Labout Party
2356,75,1086,7667,158,5058307,""
2381,348,1086,7673,160,5589059,""
2383,552,794,,107,3383530,""
2414,282,794,,97,2499913,
2415,37,319,,1,170688,Democratic Unionists (DUP) took 1 seat with nearly 29.7% of the vote in Northern Ireland.
2427,57,940,,70,9687588,""
2429,345,1055,,1,,""
2430,479,270,,1,3800785,""
2439,381,1180,5560,50,3014471,""
2442,610,543,,0,1192624,""
2445,348,1539,7673,115,4187818,""
2449,240,1255,,99,4019498,""
2452,623,1492,7600,13,210151,""
2455,315,773,,165,9600943,""
2458,57,1327,,35,5053981,""
2466,231,41,,0,442579,""
2470,351,1210,,1,133459,Ulster Unionists (Jim Nicholson) took 1 seat with 23.8% of the vote in Northern Ireland.
2471,311,659,,6,2117035,
2481,208,659,,52,4814321,""
2482,240,448,,54,1680109,""
2501,312,898,,51,2483813,""
2505,496,1539,7626,102,6403265,""
2558,327,439,,308,29844799,""
2564,511,940,,6,3027390,""
2570,243,1284,,2,504259,
2582,233,1556,,355,9552436,
2583,276,1392,,11,481231,""
2588,160,509,,11,2051246,""
2594,95,543,,41,3129982,
2596,293,686,,97,5056605,""
2597,290,1023,,1,137012,""
2617,315,1210,,10,258349,""
2619,511,905,,11,,""
2622,686,319,,1,192762,Democratic Unionists (Ian Paisley) took 1 seat with 28.4% of the vote in Northern Ireland.
2632,161,453,,1,,""
2633,601,1255,,143,5209069,""
2640,445,1180,5568,51,3302980,
2644,290,1210,,11,259952,""
2667,296,558,,31,10525728,""
2669,540,558,,40,11389697,""
2671,447,1537,,0,1422010,
2677,581,649,,15,1361706,
2682,40,659,,13,5346704,""
2689,327,1193,,119,18810217,""
2691,568,1363,,,366703,""
2701,333,837,,29,4436756,""
2717,381,543,,67,4028766,
2733,102,659,,6,730546,
2738,682,1556,,45,6153640,""
2741,455,448,,38,1377727,""
2747,273,873,,9,1715729,""
2755,25,940,,136,16025473,""
2756,231,301,,0,289694,""
2759,625,1556,,315,13266176,
2762,640,1193,,294,22972892,""
2763,291,401,7680,,,""
2771,112,794,,41,1742276,
2773,588,558,,186,14025763,
2778,403,1539,7538,141,6086599,""
2796,223,659,,9,3099283,
2801,138,1053,,38,4129907,""
2805,103,1180,5558,52,2427387,"Christian Social Union (CSU) won 52 (57.1 percent) out of 91 seats in the state of Bavaria with a vote share of 47.8 percent (cf. Wahlen in Deutschland). Until 1956, seats were allocated at the state level (Schindler 1999, 32; Vogel and Schultze 1969, 293)."
2814,479,285,7550,6,1679369,""
2818,312,1094,7664,16,842351,""
2819,331,187,,0,308564,
2820,455,897,,66,3276929,""
2823,292,556,,0,59622,""
2838,677,873,,0,888134,""
2842,506,1540,,26,5313246,""
2844,351,1023,,1,161992,Social Democratic and Labour Party (John Hume) took 1 seat with 28.9% of the vote in Northern Ireland.
2848,296,524,,6,2008629,""
2852,643,138,7596,123,4614137,""
2861,490,1284,,3,416473,
2870,231,524,,0,347887,""
2872,196,1057,,0,252216,""
2876,415,509,8324,,,""
2898,243,319,,3,70795,""
2899,296,543,,4,1576715,""
2900,331,543,,41,2307135,""
2906,237,695,,5,151345,""
2920,159,1189,,1,32200,""
2922,682,1210,,1,118785,Ulster Unionists (Jim Nicholson) took 1 seat with 22.0% of the vote in Northern Ireland.
2923,25,905,,21,4807524,""
2934,311,1556,,288,12208758,
2935,361,1180,5574,8,2817120,""
2947,625,773,5062,282,,""
2949,415,1539,,20,4188875,""
2960,582,1556,,258,8609527,""
2988,189,1392,,13,214998,""
2992,562,794,,112,2578045,
2994,643,270,,1,2353466,""
3008,331,808,5559,217,11875339,
3009,683,368,,114,4594319,""
3011,360,2265,,7,1529346,""
3026,113,1193,,284,28262441,""
3029,311,1284,,1,306802,
3035,196,689,,1,144541,Sinn Féin (SF) took 1 seat with 26.3% of the vote in Northern Ireland.
3047,208,689,,4,175933,""
3056,113,940,,107,11400747,""
3057,547,772,,0,569589,""
3072,293,1414,7666,87,2656995,""
3082,103,543,,48,2629163,
3083,222,319,,1,230251,Democratic Unionists (Ian Paisley) took 1 seat with 33.6% of the vote in Northern Ireland.
3085,417,1180,5578,10,2540007,""
3087,678,1017,2134,21,,""
3105,208,1023,,3,169865,""
3119,75,1094,,5,312635,""
3121,628,1540,,26,7268743,""
3134,291,1491,7679,38,3155367,""
3152,231,1235,,0,252121,""
3170,650,296,,21,1434509,""
3172,113,837,,33,5329942,""
3179,588,543,,46,3440911,
3182,171,873,7535,4,845977,""
3187,625,453,,1,,
3190,96,296,,43,2685308,
3192,112,296,,13,782410,""
3196,385,808,5571,190,14167561,
3198,417,558,,33,8307085,""
3213,345,940,,144,10839130,""
3217,367,1193,,280,22613191,""
3226,161,311,,0,77571,""
3227,250,1537,,0,664193,
3228,686,1023,,1,190731,Social Democratic and Labour Party (John Hume) took 1 seat with 28.1% of the vote in Northern Ireland.
3237,243,1023,,1,82892,
3245,208,311,,4,195893,""
3250,490,1547,891,5,,""
3263,588,1180,5567,49,3715827,
3269,233,1210,,1,127414,
3271,643,686,7597,24,2680194,""
3279,233,467,,0,283414,""
3281,196,467,,2,1033093,""
3294,223,311,,0,69507,""
3295,161,659,,6,1640760,
3296,415,873,,0,680080,""
3298,25,837,,45,5242675,""
3301,562,1392,,19,437049,
3321,53,1540,,17,5878192,""
3322,163,543,,39,2995085,
3325,315,1556,,419,13518167,""
3328,93,1180,5573,45,2830238,""
3330,291,59,7679,41,1230870,""
3343,496,686,7626,86,5791525,""
3345,20,686,7618,43,4003025,""
3376,479,873,7551,8,1943774,""
3385,381,808,5560,192,11283901,
3395,554,4,,4,1183073,""
3405,375,1086,7676,57,2272643,""
3414,407,1086,7677,37,1443838,""
3415,219,686,,4,1041911,Electoral alliance: Left Front (Front de Gauche) with Party of the Left (Parti de Gauche) and Left Union (Gauche Unitaire)
3427,327,1175,,1,528171,""
3428,445,255,,8,559207,Party passed regional threshold by winning 6.1% vote share in eastern Germany.
3430,484,808,5566,191,14857680,
3446,623,1539,7600,198,8477883,""
3457,581,1131,,17,986478,""
3463,18,558,,23,5547971,""
3466,243,1556,,269,11532218,
3469,506,170,,6,1114800,""
3470,568,1126,,0,76865,""
3472,250,543,,49,3096739,
3474,171,1492,7535,7,343565,""
3480,603,837,,47,5124666,""
3481,415,686,,10,2261312,""
3495,223,1556,,317,12205808,
3496,506,1193,,300,29875501,""
3506,315,319,,2,107348,""
3537,677,686,,19,4153710,""
3538,102,332,,2,92787,""
3539,312,1328,,3,,
3546,424,368,,129,3293790,
3553,171,270,,0,1116136,""
3555,290,319,,3,152749,""
3565,568,1210,2691,7,,""
3566,312,1086,7663,71,2366321,""
3567,161,1017,4770,20,,""
3576,351,1284,,2,487239,Scottish Nationalists (SNP) took 2 seats with over 32% of the vote in Scotland.
3578,296,772,,8,2382102,""
3580,296,808,5576,25,8332846,""
3581,595,543,,47,3258407,
3584,680,873,,0,574806,""
3587,171,658,7536,313,10289737,""
3592,479,509,7550,111,3617440,""
3602,219,270,,3,1091691,""
3611,113,905,,11,2056967,""
3612,57,1053,,15,2205682,""
3617,273,1539,,22,3874231,""
3618,237,940,,19,5603680,""
3620,40,1363,,,407778,""
3627,680,1492,,13,2344457,""
3632,311,773,,330,13145123,
3644,240,1259,,0,582247,""
3663,20,1492,7618,14,269343,""
3670,609,332,,2,148078,""
3672,40,1023,,1,154193,""
3673,290,1566,,1,22681,""
3676,57,86,,4,461169,""
3678,139,296,,32,2164987,
3679,231,558,,23,5472566,""
3682,410,1556,,13,2381760,""
3686,623,509,7601,128,2580121,""
3689,18,772,,13,3079728,""
3701,37,1556,,17,4253247,""
3705,243,2296,,1,39856,United Ulster Unionist Party
3709,679,543,,43,3080955,
3723,628,1146,,2,582093,""
3724,53,170,,17,2363985,""
3728,360,1539,,22,4286354,""
3729,196,1210,,1,91164,Ulster Unionists (UUP) took 1 seat with 16.6% of the vote in Northern Ireland.
3730,57,837,,51,5114351,""
3739,375,1094,7676,198,4229145,""
3744,603,905,,16,2492560,""
3748,137,1259,,0,664068,""
3751,381,558,,190,11427355,
3760,628,163,,1,18844,""
3764,25,86,,4,566957,""
3791,112,368,,190,2929391,""
3792,273,259,,6,1195863,""
3799,351,773,,18,4248531,""
3816,357,516,7684,2,463537,""
3821,290,1284,,2,331975,
3825,640,1053,,23,3023302,""
3833,664,509,7589,215,4855274,""
3837,219,259,,1,826357,Electoral alliance: Libertas (Libertas) with Movement for France (Mouvement pour la France)
3839,357,213,7683,30,3149118,""
3854,628,905,,9,,""
3873,96,794,,169,5667563,
3878,171,177,7535,15,513407,""
3889,103,808,5558,191,10016594,
3895,603,1540,,14,3199032,""
3900,554,247,,1,433938,""
3906,93,808,5573,194,11828277,""
3912,103,1131,,0,465641,
3921,511,837,,34,8733444,""
3923,403,686,7538,24,1216178,""
3924,471,1086,7675,141,4780338,""
3938,208,773,,166,8357615,""
3943,547,558,,218,16260677,
3953,223,773,4958,298,,""
3961,222,1556,,32,4865224,""
3969,490,1556,,229,10029807,
3970,25,2297,,1,281793,Shimpotō (Progressive Party)
3987,445,808,5568,268,17055116,
3990,623,270,,35,2701701,""
3997,75,686,7667,166,5489288,""
4006,367,940,,141,12899132,""
4014,686,659,,10,1266549,""
4028,75,890,,55,2381385,""
4029,511,439,,177,22095636,""
4035,511,695,,1,,""
4040,250,558,,202,12813186,
4046,583,659,,12,2327457,""
4047,361,543,,4,1662621,""
4051,547,543,,53,4030999,
4062,360,270,,10,2129668,""
4073,357,1094,7683,178,6167417,""
4087,506,905,,9,3515043,""
4131,610,1180,5575,7,2109130,""
4158,243,311,,2,132544,
4162,160,259,,0,297291,""
4169,410,659,,11,2080613,""
4170,312,686,,147,5514403,""
4199,433,940,,107,10643450,""
4204,360,686,,7,1401171,""
4215,237,1165,,1,660724,""
4218,484,1180,5566,53,4140865,
4224,506,1053,,26,3895858,""
4225,484,558,,193,14865807,
4227,447,1180,5562,49,3115652,
4256,312,401,7664,73,2389163,""
4257,417,791,,6,1567745,""
4263,357,1492,7684,11,408734,""
4265,479,2143,7551,7,713082,""
4272,679,808,5570,198,14004908,
4273,445,524,,0,987269,
4274,581,808,5557,115,5978636,
4276,455,296,,13,1093868,""
4286,664,1539,7590,55,4476716,""
4287,609,1017,1583,11,737732,""
4289,250,808,5561,196,12387562,
4298,273,1176,,5,914811,""
4314,118,1537,,0,748568,""
4322,682,1284,,1,406686,""
4323,514,1210,,9,271049,""
4330,292,368,,171,2819813,""
4335,407,686,7678,41,4010463,""
4341,219,2400,,1,79968,""
4351,582,453,,1,,""
4355,375,1414,7676,133,4091120,""
4371,276,296,,16,1467748,""
4393,333,1193,,271,24563199,""
4394,40,773,,277,10462565,""
4414,351,1556,,62,6753863,""
4426,496,1492,7626,0,606565,""
4433,609,1556,,393,11967746,""
4440,290,659,,17,7780949,""
4447,250,1180,5561,49,3136506,
4448,677,670,,0,265911,""
4449,233,1023,,3,125626,
4454,196,1556,,19,3718683,""
4463,351,659,,2,2552730,""
4468,479,1539,7551,252,5977045,""
4508,208,1284,,5,464314,""
4509,137,448,,51,1553201,
4510,496,138,7627,142,6333173,""
4511,296,1180,5576,7,2326277,""
4525,327,837,,21,8054007,""
4528,189,794,,67,1455453,""
4530,18,1180,5579,9,2063900,""
4544,568,311,,2,171374,
4553,233,659,,62,5985454,""
4557,331,1180,5559,53,3133060,
4564,603,1193,,288,22381570,""
4573,367,1053,,30,3404463,""
4575,417,808,5578,43,10628224,""
4589,93,543,,93,6316080,""
4594,471,947,,2,,""
4596,219,1058,1056,,,""
4598,171,285,7536,9,641842,""
4603,290,1556,,209,8456934,
4614,686,311,,2,185235,Plaid Cymru (Plaid) took 2 seats with 29.6% of the Welsh vote.
4617,102,1496,,,13718199,""
4619,643,509,7596,130,4502712,""
4620,506,837,,56,5701277,""
4625,18,808,5579,40,9412997,""
4627,357,686,7684,73,5085356,""
4641,351,319,,1,163246,Democratic Unionists (Ian Paisley) took 1 seat with 29.1% of the vote in Northern Ireland.
4652,625,1276,,0,91765,""
4661,683,296,,26,2048779,""
4683,53,940,,123,11713009,""
4698,25,1193,,275,30315417,""
4699,93,1537,,0,635525,""
4703,138,1193,,250,25982785,""
4711,293,1539,7666,94,2744842,""
4712,138,905,,16,2768735,""
4713,410,467,,2,1303745,""
4716,345,1053,,17,3464147,""
4726,554,1193,,296,25887798,""
4729,581,1180,5557,24,1380448,
4740,327,4,,3,1219767,""
4748,160,1539,,31,4960264,""
4751,546,448,,54,1846024,
4757,273,509,,9,1638999,""
4761,447,558,,224,14065716,
4770,161,1496,,,13750875,""
4771,582,311,,3,165394,""
4776,103,238,,0,318475,
4777,37,659,,0,1690638,""
4778,643,1539,7597,260,8381827,""
4780,196,311,,1,159888,Plaid Cymru (Plaid) took 1 seat with 17.0% of the Welsh vote.
4792,678,1556,,277,12405254,
4793,581,1420,,12,681888,""
4799,581,610,,3,1141647,
4809,410,1210,,1,82893,Ulster Conservatives and Unionists (UCUNF) [UUP/CNI alliance] took 1 seat with 17.1% of the vote in Northern Ireland.
4813,490,311,,3,123599,
4831,57,547,,55,6341364,""
4837,628,940,,15,3547244,""
4845,223,1017,4958,6,,""
4849,433,1540,,39,5625527,""
4856,386,1539,7682,57,3662443,""
4859,595,772,,49,3424315,""
4878,601,448,,49,1379991,""
4879,479,138,7550,139,3983257,""
